id,firstname,lastname,email,BirthDate,campus,Academic_year,contract_type,Company,Level,global_mark
1000,Susan,Alejoa,Susan.Alejoa@supinfo.com,1998-06-18,Caen,2019-2020,2,LCL,Msc1,39.87
1001,Augustine,Olin,Augustine.Olin@supinfo.com,1994-04-17,Lille,2019-2020,1,Engie,Msc1,62.44
1002,Noelle,Francyne,Noelle.Francyne@supinfo.com,1994-05-26,Lyon,2019-2020,2,Enedis,Msc2,30.55
1003,Deane,Zitvaa,Deane.Zitvaa@supinfo.com,1998-10-28,Paris,2019-2020,2,Carrefour,Msc2,77.23
1004,Max,Anastatius,Max.Anastatius@supinfo.com,1998-07-28,Tours,2019-2020,2,LCL,Bsc,54.22
1005,Aimil,Faria,Aimil.Faria@supinfo.com,1995-06-22,Caen,2019-2020,1,Talan,Bsc,87.55
1006,Jean,Gaynor,Jean.Gaynor@supinfo.com,1998-03-22,Lyon,2019-2020,2,Enedis,Msc2,94.11
1007,Corly,Grayce,Corly.Grayce@supinfo.com,1999-11-11,Tours,2019-2020,1,BNP Paribas,Bsc,82.33
1008,Millie,Jotham,Millie.Jotham@supinfo.com,1995-09-02,Lille,2019-2020,1,BNP Paribas,Msc2,38.07
1009,Carly,Grimbly,Carly.Grimbly@supinfo.com,1995-07-21,Lille,2019-2020,2,EDF,Msc2,54.62
1010,Sissy,Maroney,Sissy.Maroney@supinfo.com,1995-05-24,Paris,2019-2020,2,Carrefour,Msc1,92.36
1011,Raf,Abram,Raf.Abram@supinfo.com,1996-06-06,Lyon,2019-2020,2,SNCF,Msc2,69.32
1012,Luci,Schalles,Luci.Schalles@supinfo.com,1995-06-06,Lyon,2019-2020,1,LCL,Msc2,34.31
1013,Loree,Lindemann,Loree.Lindemann@supinfo.com,1995-01-22,Caen,2019-2020,1,LCL,Msc1,86.5
1014,Gale,Lorenz,Gale.Lorenz@supinfo.com,1999-05-04,Tours,2019-2020,1,Enedis,Msc1,71.21
1015,Thalia,Ries,Thalia.Ries@supinfo.com,1996-03-06,Lille,2019-2020,1,Capgemini,Bsc,76.08
1016,Amelia,Neva,Amelia.Neva@supinfo.com,1997-06-24,Caen,2019-2020,2,EDF,Bsc,71.27
1017,Celisse,Tippets,Celisse.Tippets@supinfo.com,1999-10-05,Lyon,2019-2020,1,EDF,Bsc,51.99
1018,Kary,Rese,Kary.Rese@supinfo.com,1995-04-04,Paris,2019-2020,1,Enedis,Msc1,69.63
1019,Gavrielle,Modie,Gavrielle.Modie@supinfo.com,1994-03-17,Caen,2019-2020,2,LCL,Msc2,66.86
1020,Siana,Cottle,Siana.Cottle@supinfo.com,1998-03-23,Lille,2019-2020,2,Enedis,Msc2,72.21
1021,Morganica,Tannie,Morganica.Tannie@supinfo.com,1995-07-14,Tours,2019-2020,1,BNP Paribas,Msc1,89.86
1022,Micheline,Tannie,Micheline.Tannie@supinfo.com,1999-11-12,Tours,2019-2020,1,Talan,Msc2,77.26
1023,Giustina,Ciro,Giustina.Ciro@supinfo.com,1999-01-23,Paris,2019-2020,2,Talan,Msc2,48.66
1024,Johna,Sandye,Johna.Sandye@supinfo.com,1995-08-04,Tours,2019-2020,2,SNCF,Msc2,51.73
1025,Maisey,Astra,Maisey.Astra@supinfo.com,1999-05-09,Paris,2019-2020,1,Engie,Msc2,52.7
1026,Sophia,Sherfield,Sophia.Sherfield@supinfo.com,1997-01-04,Lyon,2019-2020,1,Enedis,Msc2,89.51
1027,Lonnie,Moseley,Lonnie.Moseley@supinfo.com,1997-07-02,Tours,2019-2020,1,Enedis,Msc2,50.15
1028,Aryn,Lauraine,Aryn.Lauraine@supinfo.com,1998-04-13,Lille,2019-2020,1,BNP Paribas,Bsc,57.3
1029,Tori,Carri,Tori.Carri@supinfo.com,1997-06-30,Paris,2019-2020,2,Talan,Msc2,32.19
1030,Ardenia,Zenas,Ardenia.Zenas@supinfo.com,1994-12-08,Lyon,2019-2020,1,LCL,Msc1,50.48
1031,Jan,Seumas,Jan.Seumas@supinfo.com,1998-03-23,Tours,2019-2020,1,Talan,Bsc,35.44
1032,Gabriellia,Ioab,Gabriellia.Ioab@supinfo.com,1994-07-27,Lille,2019-2020,2,EDF,Bsc,37.15
1033,Clarice,Warthman,Clarice.Warthman@supinfo.com,1999-04-18,Tours,2019-2020,1,RTE,Msc2,81.65
1034,Lindie,Dannye,Lindie.Dannye@supinfo.com,1997-08-22,Caen,2019-2020,1,BNP Paribas,Msc1,32.25
1035,Oona,McClimans,Oona.McClimans@supinfo.com,1996-03-06,Lille,2019-2020,2,LCL,Msc2,35.55
1036,Fidelia,Wind,Fidelia.Wind@supinfo.com,1995-10-17,Paris,2019-2020,1,EDF,Msc1,34.02
1037,Ileana,Ephrem,Ileana.Ephrem@supinfo.com,1996-09-27,Paris,2019-2020,1,Amazon,Msc1,34.67
1038,Annaliese,Giule,Annaliese.Giule@supinfo.com,1995-03-05,Tours,2019-2020,1,BNP Paribas,Msc1,55.19
