id,firstname,lastname,email,BirthDate,campus,Academic_year,contract_type,Company,Level,global_mark,Graduated,Satisfaction,Salon_etudiant,Duree_embauche,Graduated,Satisfaction,Salon_etudiant,Duree_embauche
1000,Susan,Alejoa,Susan.Alejoa@supinfo.com,1998-06-18,Caen,2019-2020,2,LCL,Msc1,39.87,Oui,33,Non,24,Oui,33,Non,24
1001,Augustine,Olin,Augustine.Olin@supinfo.com,1994-04-17,Lille,2019-2020,1,Engie,Msc1,62.44,Oui,8,Oui,12,Oui,8,Oui,12
1002,Noelle,Francyne,Noelle.Francyne@supinfo.com,1994-05-26,Lyon,2019-2020,2,Enedis,Msc2,30.55,Non,88,Oui,18,Non,88,Oui,18
1003,Deane,Zitvaa,Deane.Zitvaa@supinfo.com,1998-10-28,Paris,2019-2020,2,Carrefour,Msc2,77.23,Non,58,Non,12,Non,58,Non,12
1004,Max,Anastatius,Max.Anastatius@supinfo.com,1998-07-28,Tours,2019-2020,2,LCL,Bsc,54.22,Oui,25,Oui,18,Oui,25,Oui,18
1005,Aimil,Faria,Aimil.Faria@supinfo.com,1995-06-22,Caen,2019-2020,1,Talan,Bsc,87.55,Non,57,Non,24,Non,57,Non,24
1006,Jean,Gaynor,Jean.Gaynor@supinfo.com,1998-03-22,Lyon,2019-2020,2,Enedis,Msc2,94.11,Non,12,Non,24,Non,12,Non,24
1007,Corly,Grayce,Corly.Grayce@supinfo.com,1999-11-11,Tours,2019-2020,1,BNP Paribas,Bsc,82.33,Non,52,Non,6,Non,52,Non,6
1008,Millie,Jotham,Millie.Jotham@supinfo.com,1995-09-02,Lille,2019-2020,1,BNP Paribas,Msc2,38.07,Non,64,Oui,18,Non,64,Oui,18
1009,Carly,Grimbly,Carly.Grimbly@supinfo.com,1995-07-21,Lille,2019-2020,2,EDF,Msc2,54.62,Oui,7,Non,6,Oui,7,Non,6
1010,Sissy,Maroney,Sissy.Maroney@supinfo.com,1995-05-24,Paris,2019-2020,2,Carrefour,Msc1,92.36,Non,41,Non,3,Non,41,Non,3
1011,Raf,Abram,Raf.Abram@supinfo.com,1996-06-06,Lyon,2019-2020,2,SNCF,Msc2,69.32,Oui,58,Oui,18,Oui,58,Oui,18
1012,Luci,Schalles,Luci.Schalles@supinfo.com,1995-06-06,Lyon,2019-2020,1,LCL,Msc2,34.31,Non,78,Non,12,Non,78,Non,12
1013,Loree,Lindemann,Loree.Lindemann@supinfo.com,1995-01-22,Caen,2019-2020,1,LCL,Msc1,86.5,Oui,68,Oui,24,Oui,68,Oui,24
1014,Gale,Lorenz,Gale.Lorenz@supinfo.com,1999-05-04,Tours,2019-2020,1,Enedis,Msc1,71.21,Non,26,Non,3,Non,26,Non,3
1015,Thalia,Ries,Thalia.Ries@supinfo.com,1996-03-06,Lille,2019-2020,1,Capgemini,Bsc,76.08,Non,48,Non,3,Non,48,Non,3
1016,Amelia,Neva,Amelia.Neva@supinfo.com,1997-06-24,Caen,2019-2020,2,EDF,Bsc,71.27,Non,94,Non,6,Non,94,Non,6
1017,Celisse,Tippets,Celisse.Tippets@supinfo.com,1999-10-05,Lyon,2019-2020,1,EDF,Bsc,51.99,Non,63,Non,6,Non,63,Non,6
1018,Kary,Rese,Kary.Rese@supinfo.com,1995-04-04,Paris,2019-2020,1,Enedis,Msc1,69.63,Oui,83,Oui,6,Oui,83,Oui,6
1019,Gavrielle,Modie,Gavrielle.Modie@supinfo.com,1994-03-17,Caen,2019-2020,2,LCL,Msc2,66.86,Oui,28,Non,24,Oui,28,Non,24
1020,Siana,Cottle,Siana.Cottle@supinfo.com,1998-03-23,Lille,2019-2020,2,Enedis,Msc2,72.21,Non,27,Oui,24,Non,27,Oui,24
1021,Morganica,Tannie,Morganica.Tannie@supinfo.com,1995-07-14,Tours,2019-2020,1,BNP Paribas,Msc1,89.86,Oui,71,Oui,24,Oui,71,Oui,24
1022,Micheline,Tannie,Micheline.Tannie@supinfo.com,1999-11-12,Tours,2019-2020,1,Talan,Msc2,77.26,Non,23,Oui,6,Non,23,Oui,6
1023,Giustina,Ciro,Giustina.Ciro@supinfo.com,1999-01-23,Paris,2019-2020,2,Talan,Msc2,48.66,Non,19,Oui,24,Non,19,Oui,24
1024,Johna,Sandye,Johna.Sandye@supinfo.com,1995-08-04,Tours,2019-2020,2,SNCF,Msc2,51.73,Non,82,Oui,6,Non,82,Oui,6
1025,Maisey,Astra,Maisey.Astra@supinfo.com,1999-05-09,Paris,2019-2020,1,Engie,Msc2,52.7,Oui,31,Oui,18,Oui,31,Oui,18
1026,Sophia,Sherfield,Sophia.Sherfield@supinfo.com,1997-01-04,Lyon,2019-2020,1,Enedis,Msc2,89.51,Non,71,Oui,3,Non,71,Oui,3
1027,Lonnie,Moseley,Lonnie.Moseley@supinfo.com,1997-07-02,Tours,2019-2020,1,Enedis,Msc2,50.15,Non,69,Oui,24,Non,69,Oui,24
1028,Aryn,Lauraine,Aryn.Lauraine@supinfo.com,1998-04-13,Lille,2019-2020,1,BNP Paribas,Bsc,57.3,Oui,100,Oui,12,Oui,100,Oui,12
1029,Tori,Carri,Tori.Carri@supinfo.com,1997-06-30,Paris,2019-2020,2,Talan,Msc2,32.19,Oui,29,Non,12,Oui,29,Non,12
1030,Ardenia,Zenas,Ardenia.Zenas@supinfo.com,1994-12-08,Lyon,2019-2020,1,LCL,Msc1,50.48,Non,48,Non,12,Non,48,Non,12
1031,Jan,Seumas,Jan.Seumas@supinfo.com,1998-03-23,Tours,2019-2020,1,Talan,Bsc,35.44,Oui,70,Oui,24,Oui,70,Oui,24
1032,Gabriellia,Ioab,Gabriellia.Ioab@supinfo.com,1994-07-27,Lille,2019-2020,2,EDF,Bsc,37.15,Oui,87,Oui,18,Oui,87,Oui,18
1033,Clarice,Warthman,Clarice.Warthman@supinfo.com,1999-04-18,Tours,2019-2020,1,RTE,Msc2,81.65,Oui,9,Oui,3,Oui,9,Oui,3
1034,Lindie,Dannye,Lindie.Dannye@supinfo.com,1997-08-22,Caen,2019-2020,1,BNP Paribas,Msc1,32.25,Non,57,Oui,3,Non,57,Oui,3
1035,Oona,McClimans,Oona.McClimans@supinfo.com,1996-03-06,Lille,2019-2020,2,LCL,Msc2,35.55,Oui,75,Oui,18,Oui,75,Oui,18
1036,Fidelia,Wind,Fidelia.Wind@supinfo.com,1995-10-17,Paris,2019-2020,1,EDF,Msc1,34.02,Oui,43,Oui,6,Oui,43,Oui,6
1037,Ileana,Ephrem,Ileana.Ephrem@supinfo.com,1996-09-27,Paris,2019-2020,1,Amazon,Msc1,34.67,Non,72,Non,18,Non,72,Non,18
1038,Annaliese,Giule,Annaliese.Giule@supinfo.com,1995-03-05,Tours,2019-2020,1,BNP Paribas,Msc1,55.19,Non,8,Non,12,Non,8,Non,12
1039,Marinna,Regan,Marinna.Regan@supinfo.com,1995-07-28,Lyon,2019-2020,1,Enedis,Msc1,35.19,Non,11,Oui,18,Non,11,Oui,18
1040,Cassandra,Atcliffe,Cassandra.Atcliffe@supinfo.com,1996-03-04,Paris,2019-2020,2,RTE,Bsc,83.14,Non,37,Non,12,Non,37,Non,12
1041,Kellen,Voletta,Kellen.Voletta@supinfo.com,1995-03-27,Tours,2019-2020,1,RTE,Msc2,66.88,Non,63,Non,18,Non,63,Non,18
1042,Stephanie,Abbot,Stephanie.Abbot@supinfo.com,1997-01-27,Lyon,2019-2020,1,Talan,Bsc,35.73,Non,34,Non,3,Non,34,Non,3
1043,Frank,Bultman,Frank.Bultman@supinfo.com,1999-06-15,Lyon,2019-2020,2,Talan,Bsc,73.95,Oui,64,Non,6,Oui,64,Non,6
1044,Trudie,Elo,Trudie.Elo@supinfo.com,1996-03-26,Paris,2019-2020,1,Amazon,Msc2,47.47,Non,47,Non,12,Non,47,Non,12
1045,Karly,Ade,Karly.Ade@supinfo.com,1994-02-14,Caen,2019-2020,2,Enedis,Msc2,53.16,Non,53,Oui,18,Non,53,Oui,18
1046,Theodora,Thomasina,Theodora.Thomasina@supinfo.com,1999-12-12,Caen,2019-2020,2,Carrefour,Msc2,82.5,Non,71,Non,12,Non,71,Non,12
1047,Nerta,Ventre,Nerta.Ventre@supinfo.com,1999-06-07,Caen,2019-2020,2,Capgemini,Bsc,95.89,Oui,48,Oui,12,Oui,48,Oui,12
1048,Daphne,Lalitta,Daphne.Lalitta@supinfo.com,1995-07-06,Paris,2019-2020,2,Capgemini,Msc2,80.74,Non,62,Non,12,Non,62,Non,12
1049,Consuela,Garbe,Consuela.Garbe@supinfo.com,1999-09-11,Lille,2019-2020,2,SNCF,Msc1,49.75,Oui,7,Non,18,Oui,7,Non,18
1050,Corly,Dominy,Corly.Dominy@supinfo.com,1995-10-12,Lyon,2019-2020,1,SNCF,Msc2,82.69,Oui,89,Non,18,Oui,89,Non,18
